FIO;birth_date;fake_FIO;error_in_FIO;fake_birth_date;hypoth_client_id;no_birth_date;client_id;firstname;middlename;lastname;brand_sort;match_sort
ИВАНОВИВАНИВАНОВИЧ;30.04.1955;;;;;;1031.0;Иван;Иванович;Иванов;ИВАНОВИВАНИВАНОВИЧ1955-04-30;ИВАНОВИВАНИВАНОВИЧ1976-02-07
ИВАНОВИВАНИВАНОВИЧ;26.12.1977;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1977-12-26;ИВАНОВИВАНИВАНЫЧ1977-12-26
ИВАНОВИВАНИВАНОВИЧ;07.02.1976;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1976-02-07;
ИВАНОВИВАНИВАНОВИЧ;05.09.1962;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1962-09-05;ИВАНОВИВАНИВАНОВИЧ1976-02-07
ИВАНОВИВАНИВАНОВИЧ;01.01.1960;;;;;;13091.0;Иван;Иванович;Иванов;ИВАНОВИВАНИВАНОВИЧ1960-01-01;ИВАНОВИВАНИВАНОВИЧ1976-02-07
ИВАНОВИВАНИВАНОВИЧ;21.06.1985;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1985-06-21;
ИВАНОВИВАНИВАНОВИЧ;21.02.1970;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1970-02-21;ИВАНОВИВАНИВАНОВИЧ1977-12-26
ИВАНОВИВАНИВАНОВИЧ;17.05.2021;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ2021-05-17;
ИВАНОВИВАНИВАНОВИЧ;10.04.1950;;;;;;;;;;ИВАНОВИВАНИВАНОВИЧ1950-04-10;ИВАНОВИВАНИВАНОВИЧ1955-04-30
ИВАНОВИВАНИВАНЫЧ;10.04.1950;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1950-04-10;ИВАНОВИВАНИВАНЫЧА1950-04-10
ИВАНОВИВАНИВАНЫЧ;26.12.1977;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1977-12-26;ИВАНОВИВАНИВАНЫЧ1985-02-28
ИВАНОВИВАНИВАНЫЧ;01.10.2019;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ2019-10-01;ИВАНОВИВАНИВАНЫЧА1950-04-10
ИВАНОВИВАНИВАНЫЧ;28.02.1985;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1985-02-28;
ИВАНОВИВАНИВАНЫЧ;02.02.1960;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1960-02-02;ИВАНОВИВАНИВАНЫЧ1985-02-28
ИВАНОВИВАНИВАНЫЧ;01.11.1962;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1962-11-01;ИВАНОВИВАНИВАНЫЧ2019-10-01
ИВАНОВИВАНИВАНЫЧ;19.01.1988;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧ1988-01-19;ИВАНОВИВАНИВАНЫЧ2019-10-01
ИВАНОВИВАНИВАНЫЧА;10.04.1950;;1.0;;;;;;;;ИВАНОВИВАНИВАНЫЧА1950-04-10;
